person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Keith Gordon;Paths of Glory;The Man Who Fell to Earth|Don’t Look Now|Walkabout;Brazil|Time Bandits;Badlands|Days of Heaven;Harold and Maude;Seconds;The Ruling Class;The Wages of Fear;Umberto D.;Berlin Alexanderplatz;;;;;;
Bruce Beresford;The Music Room;The Passion of Joan of Arc;Miss Julie;Odd Man Out;The Story of a Cheat;My Darling Clementine;Rome Open City;Hobson’s Choice;L’avventura;Fanny and Alexander: Television Version;;;;;;
Matthew Weiner;The Last Command;Bitter Rice;Ugetsu;Apur Sansar;Belle de jour;The Last Picture Show;Wings of Desire;The Thin Blue Line;Monty Python’s Life of Brian;The Young Girls of Rochefort|All That Jazz;;;;;;
Ana Lily Amirpour;Mulholland Dr.;The Fisher King;Au hasard Balthazar;Antichrist;Dazed and Confused;Being John Malkovich;Fantastic Mr. Fox;Repulsion;Repo Man;And God Created Woman;;;;;;
Reggie Watts;Brazil;Breathless;PlayTime;Dazed and Confused;Dead Ringers;Fantastic Mr. Fox;The Great Dictator;The Ice Storm;It’s a Mad, Mad, Mad, Mad World;Slacker;;;;;;
Laura Mulvey;The Red Shoes;Written on the Wind;Breathless|Vivre sa vie|Pierrot le fou;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;Touki bouki;People on Sunday;Close-up;Journey to Italy|The Earrings of Madame de . . . ;;;;;;;;
Paul Schneider;Three Colors: Blue|Three Colors: Red|Three Colors: White;A Christmas Tale;The Thin Blue Line;The Night of the Hunter;Harlan County USA;The Silence of the Lambs;In the Mood for Love;Tokyo Olympiad;Dead Ringers;The Black Stallion;George Washington;;;;;
Meg Baird;Pather Panchali|Aparajito|Apur Sansar;Picnic at Hanging Rock;Fishing with John;Dazed and Confused;Monterey Pop|Gimme Shelter;Days of Heaven;Alexander Nevsky;Chungking Express;Rebecca|L’avventura;A Room with a View;La promesse;;;;;
Julia Cafritz;All That Jazz;Secret Honor|Tanner ’88|Medium Cool;Safe|Brazil;Picnic at Hanging Rock;Downhill Racer;Nanook of the North;A Hard Day’s Night;Gimme Shelter;Dont Look Back;Quadrophenia;;;;;;
Bret Easton Ellis;Contempt;Days of Heaven;Don’t Look Now;L’eclisse;The Kid with a Bike;The Last Picture Show;Mulholland Dr.;Nashville;Rosemary’s Baby;The Silence of the Lambs;;;;;;
Richard Hell;Kiss Me Deadly;Au hasard Balthazar;The Brood;Pickup on South Street;Band of Outsiders;Shoah;Naked;Sweet Smell of Success;Léon Morin, Priest;Journey to Italy;;;;;;
Anna Sui;Last Year at Marienbad;Dillinger Is Dead;Lola Montès;Band of Outsiders;L’Atalante;Grand Illusion;Gimme Shelter;The Man Who Fell to Earth;The Earrings of Madame de . . . ;Juliet of the Spirits;;;;;;
Alan Arkin;The Rules of the Game;La dolce vita;Seven Samurai;Gomorrah;The Night of the Hunter;The Wages of Fear;The Horse’s Mouth;Grand Illusion;The Great Dictator;Sullivan’s Travels;;;;;;
Mogwai;Cronos;Dont Look Back;Fantastic Planet;Hunger;Kiss Me Deadly;The Night of the Hunter;RoboCop;Rosemary’s Baby;Throne of Blood;Watership Down;;;;;;
Duncan Hannah;Breathless;The Soft Skin;Lacombe, Lucien;The Spirit of the Beehive;Belle de jour;I Knew Her Well;The 39 Steps;Charade;Bob le flambeur;Overlord|L’eclisse;;;;;;
Megan Abbott;In a Lonely Place;All That Heaven Allows;The Night of the Hunter;The Palm Beach Story;Kiss Me Deadly;Dressed to Kill;My Darling Clementine;3 Women;Gilda;The Naked Kiss;;;;;;
Douglas Hart;If....;Zéro de conduite;The Fugitive Kind;Dont Look Back;Billy Liar;3 Women;Kes;L’eclisse;The American Friend;Simon of the Desert;;;;;;
Andrew Ahn;Late Spring;Tokyo Story;A Woman Under the Influence;Opening Night;In the Mood for Love;Days of Heaven;Fish Tank;Pina;Weekend;Ratcatcher;;;;;;
Tunde Adebimpe;Alphaville;Beastie Boys Video Anthology;Black Orpheus;Do the Right Thing;Eraserhead;Akira Kurosawa’s Dreams;Les Blank: Always for Pleasure;Louie Bluie;Onibaba;Touki bouki;;;;;;
Illeana Douglas;Wild Strawberries;Amarcord;My Life as a Dog;Harlan County USA;Vagabond;Rosemary’s Baby;All That Jazz;Ride the Pink Horse;In a Lonely Place;Easy Rider;;;;;;
Jenni Olson;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;God’s Country;Stranger Than Paradise;The Times of Harvey Milk;Brief Encounter|Summertime;My Dinner with André|Days of Heaven;Sweet Smell of Success;News from Home;;;;;;;;
Young Jean Lee;Contempt;Bicycle Thieves;Nights of Cabiria;Rashomon;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;Le bonheur;Solaris;Touki bouki;Eraserhead;Rosemary’s Baby;;;;;;
Amy Fine Collins;Black Narcissus;The Thief of Bagdad;Children of Paradise;La dolce vita;Don’t Look Now;The Fugitive Kind;The Innocents;My Man Godfrey;Peeping Tom;Senso;;;;;;
Terence Nance;Ali: Fear Eats the Soul;8½;Black Panthers;The Double Life of Véronique;Days of Heaven;Pather Panchali|Aparajito|Apur Sansar;Do the Right Thing;The Last Picture Show;Rushmore|The Royal Tenenbaums|The Life Aquatic with Steve Zissou|The Darjeeling Limited|Fantastic Mr. Fox|Moonrise Kingdom;Y tu mamá también ;;;;;;
Zach Clark;All That Heaven Allows;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;The Bitter Tears of Petra von Kant;Black Narcissus;Beyond the Valley of the Dolls;Au hasard Balthazar;Videodrome;Safe;Tout va bien;Crumb;;;;;;
Alton Brown;8½;All That Jazz;Rushmore;Babette’s Feast;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;Eraserhead;The Great Beauty;Blood Simple;Yojimbo;The Third Man;;;;;;
Clea DuVall;The Silence of the Lambs;Mulholland Dr.;Tootsie;Being John Malkovich;The Ice Storm;The Royal Tenenbaums;Vernon, Florida;Pan’s Labyrinth;Short Cuts;The Big Chill;;;;;;
Dana Calvo;Broadcast News;El Norte;This Is Spinal Tap;The Unbearable Lightness of Being;The Ice Storm;Traffic;The Graduate;The Manchurian Candidate;Tootsie;Boyhood;;;;;;
Ken Jennings;The Night of the Hunter;The Life and Death of Colonel Blimp;A Hard Day’s Night;Yi Yi;The Palm Beach Story;Marketa Lazarová;My Darling Clementine;PlayTime;Broadcast News;Cries and Whispers;;;;;;
Mike Portnoy;Eraserhead|Mulholland Dr.;Blood Simple|Inside Llewyn Davis;Slacker|Dazed and Confused;This Is Spinal Tap;Harold and Maude;Breaking the Waves;Blue Is the Warmest Color;House;Man Bites Dog;Dekalog;;;;;;
Bill Condon;Army of Shadows;Au hasard Balthazar;Beauty and the Beast;Clouds of Sils Maria;The Ice Storm;The Love Parade|Monte Carlo|The Smiling Lieutenant|One Hour with You;Make Way for Tomorrow;McCabe & Mrs. Miller;The Night of the Hunter;I Know Where I’m Going!;;;;;;
Barnaby Clay;Woman in the Dunes;For All Mankind;Eraserhead;If....;Nights of Cabiria;Ikiru;Eyes Without a Face;Loves of a Blonde;The Night of the Hunter;All That Jazz;;;;;;
Zach Braff;Harold and Maude;Rushmore;Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb;Badlands;Being John Malkovich;Brazil;Safe;The Last Picture Show;The Graduate;The Ice Storm;;;;;;
Nathan Silver;Ali: Fear Eats the Soul|Pickpocket;The Phantom of Liberty;Mamma Roma;If....;This Is Spinal Tap;In a Lonely Place;Crumb;Bad Timing;À nos amours;;;;;;;
Steve Gunn;La promesse;Vive le Tour;Two-Lane Blacktop;Hoop Dreams;Revanche;A Poem Is a Naked Person;Gimme Shelter;Trances;Vagabond;Paris, Texas;;;;;;
Pat Healy;Seconds;Fanny and Alexander: Television Version;The Graduate;Sweet Smell of Success;The Umbrellas of Cherbourg;The Killing|Paths of Glory;Army of Shadows;The Night of the Hunter;Videodrome;;;;;;;
Rodarte;Harlan County USA;McCabe & Mrs. Miller;3 Women;La collectionneuse;An Autumn Afternoon;The Spirit of the Beehive;Vagabond|Cléo from 5 to 7|Le bonheur|La Pointe Courte;Being There;Cries and Whispers;Kwaidan;;;;;;
Jennifer Reeder;Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles;Safe;Fish Tank;Vagabond;Rebecca;Mulholland Dr.;The Passion of Joan of Arc;Nashville;Hunger;All That Jazz;;;;;;
Alison Maclean;Ali: Fear Eats the Soul;Belle de jour;Close-up;Le doulos;Do the Right Thing;Fat Girl;La Jetée;The Killing of a Chinese Bookie;Mulholland Dr.;Safe;;;;;;
Joshua Z Weinstein;Pather Panchali|Aparajito|Apur Sansar;Before the Rain;Bicycle Thieves;Do the Right Thing;Inside Llewyn Davis;The Kid with a Bike;The Killing of a Chinese Bookie;Nashville;Night on Earth;Salesman;;;;;;
Dustin Guy Defa;Hoop Dreams;Close-up;Mulholland Dr.;Barry Lyndon;Crumb;Broadcast News;Naked;A Married Couple;Cameraperson;All That Heaven Allows;;;;;;
Janicza Bravo;All That Jazz;Ali: Fear Eats the Soul|Beware of a Holy Whore;Black Girl;Do the Right Thing;Don’t Look Now;Fear and Loathing in Las Vegas|Juliet of the Spirits;Love in the Afternoon|La collectionneuse;Le bonheur;Opening Night;3 Women|Mulholland Dr.;;;;;;
Doug Nichol;Blow-Up|The Graduate;Five Easy Pieces|The Last Picture Show;Ikiru|Wild Strawberries;Paris, Texas;The 400 Blows|The Red Balloon;It’s a Mad, Mad, Mad, Mad World;La dolce vita;Bicycle Thieves;Burden of Dreams|Gates of Heaven|Vernon, Florida;Two-Lane Blacktop;;;;;;
Connor Jessup;Still Walking;A Brighter Summer Day|Yi Yi;Taste of Cherry;Sullivan’s Travels;Late Spring;There Was a Father;Good Morning;High and Low;La promesse;Mysterious Object at Noon;The Naked Island;Cameraperson;;;;
Stephen Cone;Shadows|Faces|A Woman Under the Influence|The Killing of a Chinese Bookie|Opening Night|Love Streams;The Long Day Closes;Shoah;Mulholland Dr.;French Cancan;Broadcast News;Days of Heaven|The Thin Red Line|The New World;Day of Wrath|Ordet|Gertrud;The Curious Case of Benjamin Button;Close-up|A Christmas Tale|Something Wild|My Darling Clementine|News from Home;;;;;;
Tracy Letts;The Bank Dick;Cries and Whispers;La dolce vita;The Friends of Eddie Coyle;The Gold Rush;The Last Picture Show;Merry Christmas Mr. Lawrence;La notte;Red River;Rosemary’s Baby;;;;;;
Sebastián Lelio;A Woman Under the Influence;Elevator to the Gallows;Paris, Texas;8½;La notte;Cría cuervos . . . ;Day for Night;Persona;Breaking the Waves;Solaris;;;;;;
