person;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Julia Cafritz;Bob Fosse;Robert Altman|Robert Altman|Haskell Wexler;Todd Haynes|Terry Gilliam;Peter Weir;Michael Ritchie;Robert Flaherty;Richard Lester;David Maysles, Albert Maysles, and Charlotte Zwerin;D. A. Pennebaker;Franc Roddam;;;;;;
Bret Easton Ellis;Jean-Luc Godard;Terrence Malick;Nicolas Roeg;Michelangelo Antonioni;Jean-Pierre Dardenne and Luc Dardenne;Peter Bogdanovich;David Lynch;Robert Altman;Roman Polanski;Jonathan Demme;;;;;;
Richard Hell;Robert Aldrich;Robert Bresson;David Cronenberg;Samuel Fuller;Jean-Luc Godard;Claude Lanzmann;Mike Leigh;Alexander Mackendrick;Jean-Pierre Melville;Roberto Rossellini;;;;;;
Anna Sui;Alain Resnais;Marco Ferreri;Max Ophuls;Jean-Luc Godard;Jean Vigo;Jean Renoir;David Maysles, Albert Maysles, and Charlotte Zwerin;Nicolas Roeg;Max Ophuls;Federico Fellini;;;;;;
Alan Arkin;Jean Renoir;Federico Fellini;Akira Kurosawa;Matteo Garrone;Charles Laughton;Henri-Georges Clouzot;Ronald Neame;Jean Renoir;Charles Chaplin;Preston Sturges;;;;;;
Mogwai;Guillermo del Toro;D. A. Pennebaker;René Laloux;Steve McQueen;Robert Aldrich;Charles Laughton;Paul Verhoeven;Roman Polanski;Akira Kurosawa;Martin Rosen;;;;;;
Duncan Hannah;Jean-Luc Godard;François Truffaut;Louis Malle;Víctor Erice;Luis Buñuel;Antonio Pietrangeli;Alfred Hitchcock;Stanley Donen;Jean-Pierre Melville;Stuart Cooper|Michelangelo Antonioni;;;;;;
Megan Abbott;Nicholas Ray;Douglas Sirk;Charles Laughton;Preston Sturges;Robert Aldrich;Brian De Palma;John Ford;Robert Altman;Charles Vidor;Samuel Fuller;;;;;;
Douglas Hart;Lindsay Anderson;Jean Vigo;Sidney Lumet;D. A. Pennebaker;John Schlesinger;Robert Altman;Ken Loach;Michelangelo Antonioni;Wim Wenders;Luis Buñuel;;;;;;
Andrew Ahn;Yasujiro Ozu;Yasujiro Ozu;John Cassavetes;John Cassavetes;Wong Kar Wai;Terrence Malick;Andrea Arnold;Wim Wenders;Andrew Haigh;Lynne Ramsay;;;;;;
Tunde Adebimpe;Jean-Luc Godard;Various;Marcel Camus;Spike Lee;David Lynch;Akira Kurosawa;Les Blank;Terry Zwigoff;Kaneto Shindo;Djibril Diop Mambéty;;;;;;
Illeana Douglas;Ingmar Bergman;Federico Fellini;Lasse Hallström;Barbara Kopple;Agnès Varda;Roman Polanski;Bob Fosse;Robert Montgomery;Nicholas Ray;Dennis Hopper;;;;;;
Jenni Olson;Chantal Akerman;Louis Malle;Jim Jarmusch;Robert Epstein;David Lean|David Lean;Louis Malle|Terrence Malick;Alexander Mackendrick;Chantal Akerman;;;;;;;;
Young Jean Lee;Jean-Luc Godard;Vittorio De Sica;Federico Fellini;Akira Kurosawa;Stanley Kubrick;Agnès Varda;Andrei Tarkovsky;Djibril Diop Mambéty;David Lynch;Roman Polanski;;;;;;
Amy Fine Collins;Michael Powell and Emeric Pressburger;Ludwig Berger, Michael Powell, and Tim Whelan;Marcel Carné;Federico Fellini;Nicolas Roeg;Sidney Lumet;Jack Clayton;Gregory La Cava;Michael Powell;Luchino Visconti;;;;;;
Terence Nance;Rainer Werner Fassbinder;Federico Fellini;Agnès Varda;Krzysztof Kieślowski;Terrence Malick;Satyajit Ray|Satyajit Ray|Satyajit Ray;Spike Lee;Peter Bogdanovich;Wes Anderson|Wes Anderson|Wes Anderson|Wes Anderson|Wes Anderson|Wes Anderson;Alfonso Cuarón;;;;;;
Zach Clark;Douglas Sirk;Chantal Akerman;Rainer Werner Fassbinder;Michael Powell and Emeric Pressburger;Russ Meyer;Robert Bresson;David Cronenberg;Todd Haynes;Jean-Luc Godard and Jean-Pierre Gorin;Terry Zwigoff;;;;;;
Alton Brown;Federico Fellini;Bob Fosse;Wes Anderson;Gabriel Axel;Stanley Kubrick;David Lynch;Paolo Sorrentino;Joel Coen;Akira Kurosawa;Carol Reed;;;;;;
Clea DuVall;Jonathan Demme;David Lynch;Sydney Pollack;Spike Jonze;Ang Lee;Wes Anderson;Errol Morris;Guillermo del Toro;Robert Altman;Lawrence Kasdan;;;;;;
Dana Calvo;James L. Brooks;Gregory Nava;Rob Reiner;Philip Kaufman;Ang Lee;Steven Soderbergh;Mike Nichols;John Frankenheimer;Sydney Pollack;Richard Linklater;;;;;;
Ken Jennings;Charles Laughton;Michael Powell and Emeric Pressburger;Richard Lester;Edward Yang;Preston Sturges;František Vláčil;John Ford;Jacques Tati;James L. Brooks;Ingmar Bergman;;;;;;
Mike Portnoy;David Lynch|David Lynch;Joel Coen|Joel Coen and Ethan Coen;Richard Linklater|Richard Linklater;Rob Reiner;Hal Ashby;Lars von Trier;Abdellatif Kechiche;Nobuhiko Obayashi;Rémy Belvaux, André Bonzel, and Benoit Poelvoorde;Krzysztof Kieślowski;;;;;;
Bill Condon;Jean-Pierre Melville;Robert Bresson;Jean Cocteau;Olivier Assayas;Ang Lee;Ernst Lubitsch|Ernst Lubitsch|Ernst Lubitsch|Ernst Lubitsch;Leo McCarey;Robert Altman;Charles Laughton;Michael Powell and Emeric Pressburger;;;;;;
Barnaby Clay;Hiroshi Teshigahara;Al Reinert;David Lynch;Lindsay Anderson;Federico Fellini;Akira Kurosawa;Georges Franju;Miloš Forman;Charles Laughton;Bob Fosse;;;;;;
Zach Braff;Hal Ashby;Wes Anderson;Stanley Kubrick;Terrence Malick;Spike Jonze;Terry Gilliam;Todd Haynes;Peter Bogdanovich;Mike Nichols;Ang Lee;;;;;;
Nathan Silver;Rainer Werner Fassbinder|Robert Bresson;Luis Buñuel;Pier Paolo Pasolini;Lindsay Anderson;Rob Reiner;Nicholas Ray;Terry Zwigoff;Nicolas Roeg;Maurice Pialat;;;;;;;
Steve Gunn;Luc Dardenne and Jean-Pierre Dardenne;Louis Malle;Monte Hellman;Steve James;Götz Spielmann;Les Blank;David Maysles, Albert Maysles, and Charlotte Zwerin;Ahmed El Maanouni;Agnès Varda;Wim Wenders;;;;;;
Pat Healy;John Frankenheimer;Ingmar Bergman;Mike Nichols;Alexander Mackendrick;Jacques Demy;Stanley Kubrick|Stanley Kubrick;Jean-Pierre Melville;Charles Laughton;David Cronenberg;;;;;;;
Rodarte;Barbara Kopple;Robert Altman;Robert Altman;Eric Rohmer;Yasujiro Ozu;Víctor Erice;Agnès Varda|Agnès Varda|Agnès Varda|Agnès Varda;Hal Ashby;Ingmar Bergman;Masaki Kobayashi;;;;;;
Jennifer Reeder;Chantal Akerman;Todd Haynes;Andrea Arnold;Agnès Varda;Alfred Hitchcock;David Lynch;Carl Th. Dreyer;Robert Altman;Steve McQueen;Bob Fosse;;;;;;
